id,artist,lastfm_artist_bio
214,Imagine Dragons,"Imagine Dragons is an American pop band formed in 2008, based in Las Vegas, Nevada. The band currently consists of lead singer Dan Reynolds, guitarist Wayne Sermon, and bassist Ben McKee. 

They first gained exposure with the release of their single ""It's Time"", followed by their debut album Night Visions (2012), which resulted in the chart-topping singles ""Radioactive"" and ""Demons"". 

Rolling Stone named ""Radioactive"", which held the record for most weeks charted on the Billboard Hot 100, the ""biggest rock hit of the year"". Read more on Last.fm"
215,Imago,"There are three bands currently sharing this name. The featured songs from the albums Running and Live @ Fnac are from the second one (portuguese Imago)

1) Imago (Philippines) is a pop rock band composed of Aia De Leon (vocals/guitars), Myrene ""Maps"" Academia (bass), Tim Cacho (guitars) and Zach Lucero (drums) and known for songs such as Akap, Anino, Ewan, Taralets and Sundo.

Imago was formed in 1998. They wrote an album’s worth of original material which they recorded under the helm of producer and musician Bob Marlow. Read more on Last.fm"
216,Imperials,"The Imperials are a 4 time Grammy winning American gospel music group and a member of the Gospel Music Hall of Fame. They were founded in 1964 by Jake Hess and continue to perform today.

The band had its genesis when long-time Statesmen Quartet member Jake Hess retired from that band on December 7, 1963.[1] Hess wanted to start a new group recognized as ""king"" of the Southern gospel field and thought the ""Imperials"" would be a good moniker. After Read more on Last.fm"
217,Incognito,"There are multiple artists called Incognito:

1. An acid jazz project by Jean-Paul ""Bluey"" Maunick with deep roots in the 1970's jazz/funk/fusion world (active from 1979 to present) See below 1. for their discography.

2. A smooth jazz online group from Tupelo Records /  IODA. No other information found about this unregistered band (""Buy at Insound"" link is broken). They released similar or exactly the same title tunes/logo as the other Incognito above. (See below for details) Read more on Last.fm"
218,Incubus,"There are multiple artists using this name:
Incubus is an alternative rock band formed in 1991, based in Calabasas, California. Members include Brandon Boyd (vocals and percussion), Mike Einziger (guitar), Ben Kenney (bass), Jose Pasillas II (drums) and DJ Chris Kilmore (turntables). Former members of the band include Gavin Koppel (a.k.a. DJ Lyfe) (turntables) and Alex Katunich (a.k.a. Dirk Lance) (bass). The band's name may seem a peculiar choice to fans Read more on Last.fm"
219,Independence Day,"Please fix your tags, Independence Day is NOT an artist. The actual composer of the music for the film is David Arnold. Read more on Last.fm"
220,Indiana Bible College,"Indiana Bible College (IBC) is a praise and worship group made of the Choir, Chorale and Praise sectors of the IBC located in Indianapolis, Indiana. It is majorly focused on creating praise and worship music that abides by the Holy Ghost and glorifies Jesus. They aren't limited to a single genre, often experimenting with style. Read more on Last.fm"
221,Indigo Girls,"The Indigo Girls are Amy Ray and Emily Saliers.  They met on the playground in grammar school in Decatur, Georgia, USA, and have been playing together since high school. 

Their first release in 1985 was a seven-inch single named ""Crazy Game"", with the B-side ""Everybody's Waiting (for Someone to Come Home)"". That same year, the Indigo Girls released a six-track Extended play album named ""Indigo Girls"", and in 1987 released their first full-length album, Strange Fire, recorded at John Keane Studio in Athens, Georgia, and including ""Crazy Game"". Read more on Last.fm"
222,Ingrid Michaelson,"Ingrid Michaelson (born 8th December 1979) is a U.S. singer-songwriter whose single ""The Way I Am"" reached number thirty-seven on the Billboard Hot 100 singles chart.

She took up piano at the age of five, attending Manhattan's Third Street Music School for two years, going on to the Jewish Community Center of Staten Island's Dorothy Delson Kuhn Music Institute. There she met vocal coach Elizabeth McCullough, who worked with her through high school. Read more on Last.fm"
223,Inna,"Inna, real name Elena Alexandra Apostoleanu, was born on 16 October, 1986, in Mangalia, Romania. Blessed with singing talent, she had been singing from a very early age. 
Apostoleanu spent her childhood in the Romanian village Neptun. After graduating from high school, she started studying at Constanta University.
At October 12, 2008 Apostoleanu's first single Hot was released. This dance song immediately gained a #1 chart spot in eight different countries, only to continue this success in 2009 in rest of the world.  Read more on Last.fm"
224,Insane Clown Posse,"Insane Clown Posse (abbreviated as ICP), is an American hip-hop duo composed of Violent J (Joseph Bruce) and Shaggy 2 Dope (Joseph Utsler). ICP has earned two platinum and five gold albums. According to Nielsen SoundScan, the entire catalog of the group has sold 6.5 million units in the United States and Canada as of April 2007. The group has established a dedicated following called Juggalos numbering in the ""tens of thousands"".

Founded in Detroit in 1989 Read more on Last.fm"
225,Inside Out,"There are multiple artists with this name: 

1) Inside Out was a hardcore band from Orange County, California, USA, active from 1988—1991. It was fronted by Zack de la Rocha, who later went on to front Rage Against the Machine. Inside Out released only one EP, 'No Spiritual Surrender' (1990) on Revelation Records. The band were part of the straight edge subculture. They played all over the West Coast and even toured the East Coast once before their breakup. Read more on Last.fm"
226,INXS,"INXS was an Australian new wave band, formed as The Farriss Brothers in 1977 in Sydney, New South Wales. The band's founding members were bassist Garry Gary Beers, main composer and keyboardist Andrew Farriss, drummer Jon Farriss, guitarist Tim Farriss, lead singer and main lyricist Michael Hutchence, and guitarist and saxophonist Kirk Pengilly. For 20 years, INXS was fronted by Hutchence, whose magnetic stage presence made him the focal point of the band. Read more on Last.fm"
227,Iron Butterfly,"Iron Butterfly is an American psychedelic rock band, well known for their 1968 hit ""In-A-Gadda-Da-Vida"". They are considered a very-early heavy metal band as a result of this song and others like it as well as the title of their debut album, 'Heavy'. Their heyday was the late-60s, but the band has been reincarnated several times with various members. Also known for being the first RIAA certified platinum group, VH1 ranks them as number 19 on their list of top 100 ""one hit wonders"". Read more on Last.fm"
228,Iron Maiden,"Iron Maiden is an English heavy metal band formed in Leyton, East London, in 1975 by bassist and primary songwriter Steve Harris. While fluid in the early years of the band, the lineup for most of the band's history has consisted of Harris, lead vocalist Bruce Dickinson, drummer Nicko McBrain, and guitarists Dave Murray, Adrian Smith and Janick Gers. The band have released 41 albums, including 17 studio albums, 13 live albums, four EPs and seven compilations. Read more on Last.fm"
229,Irving Berlin,"Irving Berlin (11 May 1888 – 22 September 1989), born Israel Isidore Baline, in Tyumen, Russia (according to other sources possibly Mogilev, now Belarus), was an American composer and lyricist.  He was one of the most prodigious and famous American songwriters in history.

Berlin, who was Jewish, was one of the few Tin Pan Alley/Broadway songwriters who wrote both lyrics and music for his songs. Although he never learned to read music beyond a rudimentary level, he composed over 3,000 songs. Read more on Last.fm"
230,Isley Brothers,"First formed in the early ’50s, the Isley Brothers enjoyed one of the longest, most influential, and most diverse careers in the pantheon of popular music — over the course of nearly a half century of performing, the group’s distinguished history spanned not only two generations of Isley siblings but also massive cultural shifts which heralded their music’s transformation from gritty R&B to Motown soul to blistering funk.

and a Soundtrack of Beverly Hills Cop (1984) Read more on Last.fm"
231,Israel,"Israel Ka'ano'i Kamakawiwo'ole was born May 20, 1959 to Henry (aka Tiny) KaleiAloha Naniwa Kamakwiwo`ole Jr. and Evangeline Leinani (Keale) Kamakawiwo`ole. He lived the first 10 years of his life in Palolo Valley on O'ahu. Then the family moved to Makaha. He started playing music with his older brother Skippy when he was just 11 years old. But that isn't surprising, as Israel came from a musical family. His uncle is Moe Keale, a living legend in Hawai. Read more on Last.fm"
